thread,neg,seg,comb,speaker,text
1,K2,n,n-K2,f,do you know where it is you've to take me then on the map 
1,K1,s,s-K1,g,uh-huh 
2,K1,n,n-K1,g,i've got a route i've got a dotted line 
2,o,s,s-o,f,oh right 
3,K1,n,n-K1,g,but it's i don't see how it works if you haven't got for example got any pelicans 
3,o,s,s-o,f,right 
4,K2,n,n-K2,f,eh can you be sure that does it say can you be sure they are pelicans 
4,K1,s,s-K1,g,it says pelicans underneath them 
5,K1,n,n-K1,g,amongst other indications like the big saggy bit under the beak and stuff 
5,o,s,s-o,g,you know what i mean 
6,K1,n,n-K1,g,if you haven't got the same stuff and i'd go for a big 
6,o,s,s-o,f,yeah i think we're all right okay uh-huh 
6,o,s,s-o,g,right 
7,K1,n,n-K1,g,the start is above the summit of the extinct volcano in the bottom right-hand corner of the page 
8,K2,n,n-K2,g,have you got one of them 
8,K1,s,s-K1,f,uh i have got that 
9,K1,n,n-K1,f,it says start 
9,o,s,s-o,g,right 
9,o,s,s-o,g,it says start 
9,o,s,s-o,f,uh-huh hmm 
10,A2,n,n-A2,g,well you take the dotted line down to the left until it's below the volcano and you go along to the left under the tribal settlement 
10,A1,s,s-A1,f,right 
11,K1,n,n-K1,f,i haven't got a tribal settlement 
11,o,s,s-o,g,aha 
11,o,s,s-o,f,right 
12,A1,n,n-A1,f,so i just i go sh-- sh-- straight down 
13,o,n,n-o,g,so i 'pose you just 
13,A2,s,s-A2,g,you go sort off the top of the volcano sort thing 
14,K1,n,n-K1,g,above the volcano and then down past it on the left 
13,A1,o,o-A1,f,right 
14,o,n,n-o,f,right 
15,A2,n,n-A2,g,and then sort down along the page straight along the bottom of the page 
16,K2,n,n-K2,f,straight along about the same level as the volcano 
16,K1,s,s-K1,g,a bit below it a bit below it 
17,K1,n,n-K1,g,and then there's a there's a on mine there's a tribal settlement 
17,o,s,s-o,g,right 
17,ch,s,s-ch,f,right i haven't got one of them 
18,K1,n,n-K1,g,in the bottom left-hand corner of the page 
19,A2,n,n-A2,g,so you go round that 
19,o,s,s-o,f,i know 
19,ch,s,s-ch,f,but i don't have one of them 
19,o,s,s-o,g,aye 
20,A2,n,n-A2,g,well imagine it's there 
20,A1,s,s-A1,f,mm-mm right 
21,K2,n,n-K2,f,have you got a rope bridge 
21,K1,s,s-K1,g,uh-huh uh-huh uh-huh 
21,o,s,s-o,f,right 
22,A2,n,n-A2,g,after you've gone round the tribal settlement you go up and then you cross the rope bridge from left to right 
23,o,n,n-o,f,i've got a 
22,o,o,o-o,f,right 
24,o,n,n-o,g,okay 
24,A2,s,s-A2,g,once you get to the other side of the rope bridge you go down about an inch and then you go straight along again towards the right and up 
25,A2,n,n-A2,f,wait a minute down about an inch 
25,A1,s,s-A1,g,okay 
25,o,s,s-o,f,right 
26,A1,n,n-A1,f,round the machete 
26,o,s,s-o,g,well i suppose so aye 
27,K1,n,n-K1,g,i haven't got a machete 
